gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ACBD6,0.751011,1.05191,0.000247468,0.630552,0.178153,0.805293,0.738837,0.948212
ACBD7,0.199447,0.869223,0.081359,0.868006,0.0652759,0.816213,0.158749,0.857109
ACCS,0.0718362,0.865044,0.841384,1.01179,0.710344,0.970968,0.86696,0.986806
ACCSL,0.26416,1.159,0.766141,0.971547,0.903924,0.984269,0.509236,1.09077
ACD,0.452092,0.93973,0.000120631,0.777304,0.464533,0.941335,0.8457,0.984081
ACE,0.101983,0.879418,0.0431103,1.12546,0.548915,0.954499,0.882399,0.988591
ACE2,0.128579,0.919742,0.468871,0.971228,0.828892,0.988302,0.77829,0.984785
ACER1,0.0952914,0.856339,0.0275427,0.858245,0.23506,0.896138,0.977583,1.00258
ACER2,0.127734,0.895688,0.0126756,0.873078,0.0229922,0.846404,0.0598931,0.872051
ACER3,0.293618,1.12079,3.10E-09,1.7609,0.0269453,1.27726,0.893919,1.01451
ACHE,0.0752712,0.866145,0.365874,0.948061,0.282995,0.917699,0.702441,0.970046
ACIN1,0.0634769,1.10185,0.409787,1.03189,0.153041,1.07698,0.386643,1.04566
ACKR1,0.254202,0.904392,0.960073,1.00324,0.880326,0.986899,0.82778,0.981123
ACKR2,0.109754,0.889482,0.6607,0.976805,0.587762,1.04004,0.462899,1.05467
ACKR3,0.0241915,1.29777,0.958609,1.00433,0.456642,1.08784,0.0719917,1.22896
ACKR4,0.881141,1.01197,0.695053,1.02333,0.0919484,1.1457,0.0803541,1.15175
ACLY,0.278978,1.07511,0.619532,1.02472,0.580422,1.03751,0.80827,1.01628
ACMSD,0.441583,0.935548,0.777665,1.01817,0.780005,0.976167,0.953795,0.99501
ACO1,0.450001,1.11733,0.0423082,0.799237,0.180261,0.820392,0.687801,0.9428
ACO2,0.798112,1.02917,0.377548,0.929127,0.158032,1.17372,0.352513,1.11061
ACOT1,0.553027,0.941799,0.214952,0.911095,0.722258,1.03654,0.287657,1.11392
ACOT11,0.289046,0.913978,0.722791,1.02237,0.384813,0.929044,0.490377,0.943338
ACOT12,0.00786679,0.82098,0.109281,0.917722,0.0618577,0.872694,0.483849,0.95093
ACOT13,0.24663,1.18753,0.000125126,1.56698,0.292792,1.16869,0.222919,1.19834
ACOT4,0.811156,0.977576,0.0829775,0.884005,0.143921,1.15041,0.789843,1.02562
ACOT7,0.141482,0.888693,0.246987,0.933935,0.143777,0.889307,0.520289,0.950126
ACOT8,0.397005,0.928918,0.284737,0.9334,0.920618,0.991391,0.587713,0.953991
ACOT9,0.740261,1.05722,6.21E-06,1.85923,0.277238,1.2012,0.617893,1.08739
ACOX1,0.395975,1.09395,0.098999,1.13901,0.884096,0.984748,0.856539,1.01924
ACOX2,0.279947,0.930259,0.39056,1.04325,0.115325,1.11187,0.926131,0.99385
ACOX3,0.987939,1.00071,0.226244,1.0432,0.128821,1.07483,0.0522058,1.09736
ACOXL,0.293942,0.925609,0.927777,1.00492,0.954913,0.995866,0.534577,1.04664
